store_no,store_nm,addr
38294,곱창600도씨,서울특별시 강서구 내발산동
38298,세동유통(주)충남지점,충청남도 공주시 반포면 봉곡리
38317,지에스(GS)25 좌동한라점(상품권),부산광역시 해운대구 좌동
38328,볼륨,경기도 안산시 단원구 고잔동
38401,다인도예공방,경기도 연천군 신서면 도신리
38591,러블리조하,경상남도 거제시 옥포동
38602,송가네종합수리,서울특별시 강동구 강일동
38632,이춘봉치킨 구미원평점,경상북도 구미시 남통동
38787,읍천리382 경북대점,대구광역시 북구 산격동
38855,띵떡,서울특별시 관악구 봉천동
39019,굿성비 키친 고척점,서울특별시 구로구 고척동
39079,세르지알마니,충청남도 천안시 서북구 백석동
39146,제이스 빌리어드,서울특별시 서대문구 홍제동
39156,바르다김선생레이크꼬모 동탄호수점,경기도 화성시 송동
39164,삼화이용원,울산광역시 남구 야음동
39236,대솔농산,인천광역시 남동구 고잔동
39332,그랜드푸드,경기도 화성시 반송동
39466,원컴퍼니,경기도 의정부시 녹양동
39478,도솔돌구이,대전광역시 서구 도마동
39527,로샤 고종선,강원도 횡성군 횡성읍 읍하리
39564,카페 라떼떼,서울특별시 강남구 대치동
39570,흑백집 가산디지털점,서울특별시 금천구 가산동
39702,주식회사 삼일하이테크,광주광역시 광산구 월전동
39709,마드레커피,인천광역시 중구 운남동
39756,권명숙의 건강밥상,울산광역시 중구 남외동
39878,한동 세무회계 사무소,서울특별시 송파구 석촌동
39919,진흥철물종합상사,충청북도 제천시 송학면 무도리
39935,금호코인노래연습장,광주광역시 광산구 우산동
40012,경산보신탕,경상북도 울릉군 서면 남양리
40153,하늘과 닿은 황장재펜션 식당,경상북도 청송군 진보면 괴정리
40203,아영보세,경기도 성남시 분당구 수내동
40291,지에스25 포항상대점(상품권),경상북도 포항시 남구 대도동
40362,전통어시장수산,경상북도 울진군 후포면 후포리
40370,유리푸드,대전광역시 서구 괴정동
40526,한남양옥,서울특별시 용산구 한남동
40629,주주학당,경상북도 경주시 동천동
40799,일러스트포레(illustforet),서울특별시 마포구 도화동
41007,에그드랍 평촌점,경기도 안양시 동안구 호계동
41156,(주)로얄아이비,서울특별시 강남구 신사동
41191,나비드하말쉐모아,광주광역시 광산구 신가동
41294,워시큐 산동점,경상북도 구미시 산동면 봉산리
41604,냅다 청양집 신도림점,서울특별시 구로구 신도림동
41645,(주)토핀스,대전광역시 유성구 용산동
41732,한모테크,충청북도 영동군 영동읍 부용리
41801,신아로마,전라북도 남원시 동충동
41828,왕돈까스 왕냉면,경기도 군포시 당동
41897,케이엠시스템,경기도 부천시 원종동
41908,임창정의대단한갈비 하남미사점,경기도 하남시 망월동
42019,백스비어 묵동자이점,서울특별시 중랑구 묵동
42062,치킨마루 송파방이점,서울특별시 송파구 방이동
42199,키다리아저씨 설비,충청북도 진천군 진천읍 읍내리
42232,냅다청양집 만수점,인천광역시 남동구 만수동
42427,숙이네막썰이회,경상남도 거제시 일운면 지세포리
42787,파리바게뜨 경기광주터미널점,경기도 광주시 경안동
42798,주식회사 메디나,부산광역시 남구 대연동
42819,더찰스,경기도 이천시 창전동
42920,아미워터,경기도 부천시 고강동
42980,산드라영어어학원,대구광역시 달성군 다사읍 죽곡리
43016,삼양연마공업(주)영남영업소,경상북도 포항시 남구 해도동
43020,얌얌푸드,인천광역시 부평구 삼산동
43112,옵토메트릭비젼케어안경원,경기도 시흥시 정왕동
