store_no,store_nm,addr
43762,다정리협동조합,경기도 시흥시 포동
43816,아트앤하트 시흥 장현 모아미래도(홈스쿨),경기도 시흥시 장현동
43817,(주) 내쇼날모터스,경기도 안성시 공도읍
43850,갓돼지,경상남도 양산시 물금읍 가촌리
44336,그때그때과일,인천광역시 서구 청라동
44624,지에스(GS)25 송탄스위첸점(상품권),경기도 평택시 지산동
44710,뉴-카닥터1급정비공장,경상북도 군위군 군위읍 무성리
44711,고래스크린,경상북도 경산시 사정동
44886,후후(HUHU),경상남도 김해시 관동동
44898,한끼정,서울특별시 서초구 잠원동
44917,민스덮밥,전라북도 군산시 신영동
44966,더그레이스,경기도 성남시 분당구 금곡동
45012,성권수제메밀냉면,경기도 평택시 포승읍 만호리
45072,아이콘헤어살롱,인천광역시 연수구
45098,주식회사 다인유통,부산광역시 사상구 주례동
45179,호부당,전라남도 보성군 벌교읍 회정리
45188,참피온,제주특별자치도 제주시 일도일동
45222,주식회사 페르소나 경주플라잉,경상북도 경주시 성건동
45290,듀오하우징,경기도 수원시 팔달구 고등동
45333,닭발점빵,대구광역시 달서구 신당동
45426,방학해신삼계탕,서울특별시 도봉구 방학동
46018,한울서당,경상북도 경산시 중산동
46055,불맛공장불닭and닭발가수원점,대전광역시 서구 가수원동
46119,남건지게차,경상남도 김해시 진영읍 설창리
46234,농업회사법인주식회사백세공동작업장,경상남도 함안군 여항면 외암리
46291,정여사네과일,부산광역시 해운대구 좌동
46342,주식회사 서인프린텍,전라북도 전주시 덕진구 우아동3가
46436,담양의상실,전라남도 담양군 담양읍 학동리
46465,도담725,대구광역시 북구
46562,행복해질개,강원도 강릉시 옥천동
46619,공부인 스터디카페 금릉2호점,경기도 파주시 금촌동
46652,대풍전기,경기도 안성시 양성면 석화리
46741,썬 세차파크,경기도 고양시 덕양구 동산동
46779,도계통신,강원도 삼척시 도계읍 전두리
46888,컴포즈커피 김포풍무점,경기도 김포시 풍무동
46898,지축설악추어탕,경기도 고양시 덕양구 지축동
46935,수양유성개발주식회사,경상남도 거제시 연초면 오비리
47016,엠비키친,서울특별시 강북구 미아동
47527,현지지게차,충청남도 천안시 동남구 구성동
47541,명성에프에이(Myeung Sung F.A),대구광역시 북구 산격동
47639,이공구엔(209n),부산광역시 기장군 정관읍 매학리
47697,커피왕 성서롯데시네마점,대구광역시 달서구 이곡동
47734,그린워크착한세탁소,인천광역시 연수구 송도동
47963,잇츠카츠,서울특별시 광진구 구의동
47977,카팬트리,경기도 평택시 청북읍 옥길리
48065,돈엔닭숯불구이,광주광역시 서구 금호동
48093,(주)타치온네트웍스부산,부산광역시 연제구 연산동
48177,읍내스테이,경상남도 남해군 남해읍 남변리
48221,씨유(CU)명지엘크루점,부산광역시 강서구 명지동
48346,임대장대저봉명점,대전광역시 유성구 봉명동
48389,롯타이,제주특별자치도 제주시 한림읍 한림리
48438,달리는커피청림점,서울특별시 관악구 봉천동
48773,MOON STUDIO,서울특별시 영등포구 당산동4가
48909,아트영어수학학원,광주광역시 북구 우산동
48919,와플칸 장현점,경기도 시흥시 장현동
49020,밍구네,충청남도 서산시 동문동
49181,유남회센타,제주특별자치도 제주시 이도일동
49326,조은메디,광주광역시 광산구 쌍암동
49381,키친 끝판왕,서울특별시 마포구 서교동
49541,남서울골프아카데미(JNGK),경기도 용인시 기흥구 중동
49886,누리푸드랜드 주식회사,경상남도 김해시 주촌면 천곡리
50047,예인빌딩,경기도 용인시 수지구 동천동
50286,장군한우갈비탕,강원도 동해시 천곡동
50297,에스제이컴퍼니(S.J Company),서울특별시 종로구 묘동
50434,엄마집,울산광역시 동구 전하동
50437,핑and팬텀 인천주안점,인천광역시 남동구 구월동
50474,안면도물고기집,대전광역시 중구 중촌동
50543,수산물직판장 구영점,울산광역시 울주군 범서읍 구영리
50907,푸라닭광명소하점,경기도 광명시 소하동
