STORE_NM,ADDR,UPJONG_DESC
꼴통이네밥집,"경기 화성시 봉담읍 와우안길  60-0, 2층 좌측호 (와우리,예국빌딩)",한식_SUB

지에스25 인덕원사랑점 (상품권),"경기 안양시 동안구  인덕원로  24-0, 1층 일부 (관양동)",JHY_EDIT

주식회사 위드스카이,"전북 전주시 완산구  풍남문4길  32-0, 지하1층 (중앙동4가)",

누룽누룽,"경기 고양시 일산동구  백석로  24-0, 상가동 1층 114호 (백석동,흰돌마을3단지)",매칭표_매핑

티알에프 냉동냉장,"부산 서구  대영로112번길  66-0, 101호 (동대신동2가,향원빌라)",

지에스(GS)25 서산음암(상품권),"충남 서산시 음암면 운암로  208-0, 1층 (도당리)",JHY_EDIT

포텐스터디카페 춘천석사점,"강원 춘천시  퇴계농공로  16-0, 702-1호 (석사동)",JHY_EDIT

상수동 밥한끼,"서울 마포구  독막로  98-0, 상가동 1층 102호 (상수동,상수두산위브아파트)",매칭표_매핑

나비야헤어,"부산 남구  용호로232번길  12-0, 2층 (용호동)",SEARCH

(주)비비지바이오,"서울 강남구  도산대로67길  13-5, 6층 (청담동)",매칭표_매핑

바이씬,"서울 강서구  마곡중앙로  161-1, 1층 118호 (마곡동,마곡나루역캐슬파크)",매칭표_매핑

사랑,"전남 순천시  장선배기길  55-0, 101동 1505호 (조례동,동산아파트)",매칭표_매핑

호센식당,"제주 제주시 애월읍 애월해안로  496-0, 1층 (신엄리)",한식_SUB

모딤,"경기 안양시 동안구  벌말로  66-0, R104호, R105호 (관양동,평촌 하이필드 지식산업센터)",매칭표_매핑

블루펄빌딩,"서울 강남구  도산대로  549-0, (청담동)",JHY_EDIT

디니카페,"부산 사상구  사상로277번길  21-0, 1층 (덕포동)",SEARCH_ADD

카토식당,"경기 고양시 일산동구  일산로  250-0, (마두동)",한식_SUB

최지혜,"서울 강동구  아리수로97길  19-0, 404동 1001호 (강일동,강일리버파크4단지아파트)",

파리바게뜨,경기 시흥시 장현동 538-3,FRAN

충남아산지역자활센터(착한식당),"충남 아산시  청운로  141-0, 1층 (권곡동)",한식_SUB

NEPA,"경북 경산시  경안로  231-0, (중방동)",SEARCH_ADD

지에스이(GSE)어학원,"경기 용인시 처인구 이동읍 백옥대로  751-0, 2층 (천리)",SEARCH_ADD

동신,"서울 노원구  광운로2나길  30-0, 1동 303호 (월계동,동신아파트)",

구름산농산물직거래장터,"경기 광명시  광명로  562-0, 1층 (노온사동)",SEARCH

영상매체기획,"강원 춘천시 동내면 학곡서1길  19-0, 301동 801호 (학곡리,신아아파트)",
