store_no,store_nm,addr,category,telephone,address,roadAddress,mapx,mapy,description,link
875826,금호우방부동산(AnB냉난방설비및유지보수),경상북도 영천시 금호읍 교대리,"음식점>치킨,닭강정",,경기도 의정부시 산곡동 290-7,경기도 의정부시 서광로 169,321789,570309,,
876277,바디리폼(BODY REFORM),경기도 포천시 신읍동,,,,,,,,
876293,겁쟁이페달,대구광역시 수성구 매호동,,,,,,,,
876414,용암드림탑학원,충청북도 청주시 상당구 용암동,"임신,출산>산후조리원",,경기도 용인시 기흥구 보정동 1261-2,경기도 용인시 기흥구 죽전로 2 현타워 6층,321229,524639,,http://www.pogeun.co.kr/
876500,일품찌개전문점,부산광역시 북구 덕천동,"쇼핑,유통>보청기",,경기도 수원시 팔달구 팔달로3가 89,경기도 수원시 팔달구 정조로 767-3 동인빌딩 2층,312969,519857,,http://newtone.co.kr
876913,지에스25달서용산로점,대구광역시 달서구 본리동,,,,,,,,
876950,라라 telecom,경상북도 포항시 북구 상원동,,,,,,,,
877006,푸르넷해돋이공부방101동,경상북도 김천시 신음동,,,,,,,,
877111,(주)은성기업콘크리트,충청북도 청주시 청원구 오창읍 화산리,,,,,,,,
877152,미스터청소맨,전라북도 정읍시 상동,"한식>곰탕,설렁탕",,서울특별시 영등포구 문래동3가 55-5,서울특별시 영등포구 당산로 34,302648,546719,,
877177,컬쳐히어로(온),서울특별시 마포구 아현동,,,,,,,,
877221,양산민물,부산광역시 부산진구 부전동,"쇼핑,유통>캐주얼웨어",,경기도 여주시 창동 63-9,경기도 여주시 여흥로105번길 18,367870,521755,,
877241,설빙 군자역점,서울특별시 광진구 군자동,"카페,디저트>베이커리",,인천광역시 계양구 계산동 946-6 계산메가타운 107호,인천광역시 계양구 경명대로 1090 계산메가타운 107호,287797,549724,,http://0325439714.tshome.co.kr/
877442,코즈빈,부산광역시 부산진구 전포동,교습학원>입시학원,,부산광역시 강서구 명지동 3239-7,부산광역시 강서구 명지오션시티4로 75,482629,276324,,
877530,우디커피,경상남도 창원시,,,,,,,,
877611,책읽는 원시인문화협동조합,광주광역시 광산구 신창동,,,,,,,,
877672,행운한식뷔페,경기도 김포시 대곶면 초원지리,,,,,,,,
877891,삼화기업,서울특별시 강서구 화곡동,"쇼핑,유통>수산물",,경기도 군포시 산본동 220-5,경기도 군포시 산본천로183번길 8,306158,530325,,
877905,신진갤러리,전라남도 목포시 보광동2가,,,,,,,,
878050,하마 출장세차,대전광역시 유성구 장대동,,,,,,,,
878268,예담화물,경기도 수원시 팔달구 화서동,,,,,,,,
878447,에이풀아로마테라피,울산광역시 남구 달동,,,,,,,,
878583,강달구포차,경상북도 영천시 문외동,,,,,,,,
878692,뚱이네담뱃잎가게,경기도 평택시 비전동,스포츠시설>필라테스,,경기도 화성시 오산동 971,경기도 화성시 동탄광역환승로 63 W216호 카림2차 상가,319371,511524,,http://blog.naver.com/physiobone
879076,씨유(CU) 속초휴먼빌점,강원도 속초시 조양동,"생활,편의>편의점",,대전광역시 중구 유천동 201-1,대전광역시 중구 계백로1615번길 57,346188,413596,,
879102,조은카메라,서울특별시 중구 남창동,"카페,디저트>카페",,경기도 안성시 원곡면 칠곡리 395-4,경기도 안성시 원곡면 만세로 1138,324952,494116,,http://소호갤러리.kr/
879175,커피쿡대전정부청사점,대전광역시 서구 월평동,,,,,,,,
879187,서울롤-서촌,서울특별시 종로구 통인동,"교육,학문>직업훈련소",,서울특별시 중랑구 상봉동 128,서울특별시 중랑구 망우로 244,318934,555106,,http://www.kdchrd.or.kr/
879344,서현기업,광주광역시 북구 운암동,,,,,,,,
879471,카르마,경기도 과천시 중앙동,"자동차정비,수리>썬팅,광택",,경기도 평택시 청북읍 옥길리 1167-7,경기도 평택시 청북읍 안청로2길 14-19 상가 1층,303948,491168,,http://instagram.com/car_pt23
879491,씨유(CU)동천우미린점,광주광역시 서구 동천동,술집>요리주점,,강원도 강릉시 입암동 708-5,강원도 강릉시 성덕포남로 45-10,481187,573382,,
879542,지에스25마곡10단지점,서울특별시 강서구 마곡동,"음식점>치킨,닭강정",,경기도 안성시 금산동 57-5 1층 (금산동),경기도 안성시 안성맞춤대로 1121,335114,490390,,
879654,SK스토아P2(무),서울특별시 마포구 아현동,건설업>전기공사,,경기도 평택시 세교동 569-9,경기도 평택시 평택로 158,318275,489065,,
879809,화윤시스템,경기도 평택시 통복동,,,,,,,,
879873,히트뷰티,경기도 안양시 동안구 호계동,"생활,편의>미용실",,경상북도 포항시 북구 장성동 1571-7 1층,경상북도 포항시 북구 새천년대로1249번길 18 1층 뷰티시아 Beautycia,524784,387018,,
879918,재식이네포도농장,경기도 군포시 속달동,,,,,,,,
880124,생선집,경상남도 거제시 장평동,"건강,의료>요양병원",,경기도 고양시 일산동구 풍동 143-9,경기도 고양시 일산동구 백마로 490,294612,562834,,http://www.자향요양병원.com
880183,채움푸드,충청남도 아산시 음봉면 산동리,,,,,,,,
880243,입암농업협동조합,경상북도 영양군 석보면,,,,,,,,
880261,냉면가왕갈비정식 북구점,울산광역시 북구 호계동,,,,,,,,
880351,센트럴팜,대전광역시 동구 구도동,"카페,디저트>카페",,경기도 부천시 중동 1033-3 굿모닝프라자 1층,경기도 부천시 길주로 199,290965,545486,,http://cafe.naver.com/coffeelieto
880354,영그램(0g),경상북도 경산시 중방동,"연애,결혼>혼수,예단,예물",,부산광역시 동구 범일동 290-1 부산진시장 지하 잉여부 122호,부산광역시 동구 진시장로 24 부산진시장,496675,282417,,http://gain.alltheway.kr/
880413,카페 시트로네,서울특별시 중구 서소문동,양식>피자,,충청남도 보령시 동대동 1826,충청남도 보령시 작은오랏2길 46-7 (동대동),274849,417102,,http://handmadepizza.co.kr
