store_no,store_nm,addr,category,telephone,address,roadAddress,mapx,mapy,description,link,Correct
11641,장수촌풍천장어,경기도 연천군 백학면,"카페,디저트>베이커리",,경상남도 통영시 동호동 114-1,경상남도 통영시 동피랑길 28,439327,249705,,,X
11965,탑셀 바이오뱅크 의정부지사 고객센터,경기도 의정부시 호원동,,,,,,,,,X
12221,엔케이티이칠오 스튜디오,서울특별시 마포구 성산동,,,,,,,,,X
12296,육짚,부산광역시 부산진구 전포동,"쇼핑,유통>문,창문",,경상북도 김천시 백옥동 729-1,경상북도 김천시 살티고개길 128,406954,390406,,,X
12318,미애작업실,전라북도 남원시 하정동,,,,,,,,,X
12404,노아브루어스,부산광역시 금정구 장전동,,,,,,,,,X
12526,늘솜 커텐,경기도 여주시 하동,"생활,편의>편의점",,서울특별시 강남구 논현동 112 1층,서울특별시 강남구 학동로47길 16 1층,315217,546612,,http://gs25.gsretail.com/,X
12565,더큰북(the 큰book) 마마몽떼,경기도 화성시 영천동,음식점>햄버거,,경기도 성남시 수정구 창곡동 505,경기도 성남시 수정구 위례광장로 104,324241,541565,,http://www.frankburger.co.kr/,X
12611,타임유 스터디카페 주엽점,경기도 고양시 일산서구 주엽동,"미용>네일아트,네일샵",,경기도 김포시 구래동 6883-6 포인트프라자 3층 302호,경기도 김포시 김포한강9로76번길 49 포인트프라자 3층 302호,278997,561174,,http://instagram.com/myd_nail,X
12776,조아라청과,인천광역시 남동구 논현동,,,,,,,,,X
12834,하삼동커피 인천간석올리브점,인천광역시 남동구 간석동,건설업>전문건설업,,전라남도 보성군 득량면 예당리 385-13,전라남도 보성군 득량면 예당길 150-1,326827,242538,,,X
12881,제일초밥,경기도 안양시 만안구 안양동,중식>중식당,,경기도 화성시 오산동 1019 라스플로레스 1층 1056호,경기도 화성시 동탄대로 537 라스플로레스 1층 1056호,320121,511544,,,X
13055,유한킴벌리속초특판대리점,강원도 속초시 도문동,,,,,,,,,X
13067,와우스크린,대전광역시 유성구 학하동,,,,,,,,,X
13118,지에스(GS)25 제천강제점,충청북도 제천시 강제동,,,,,,,,,X
13202,박진석 법무사사무실,서울특별시 서초구 서초동,일식>돈가스,,서울특별시 종로구 동숭동 1-147,서울특별시 종로구 동숭길 51,312246,553615,,,X
13415,(주)웅재,경기도 광주시 오포읍 신현리,,,,,,,,,X
13424,미스오징어 미스터광어,인천광역시 서구 가정동,음식점>한식,,서울특별시 마포구 연남동 504-1 1층,서울특별시 마포구 성미산로 112 1층,304745,551648,,,X
13493,모도리두부,경상남도 창원시 마산합포구 진전면 양촌리,"서비스,산업>기업",,서울특별시 동대문구 장안동  430-3,서울특별시 동대문구 장한로 43,317746,551842,,,X
13573,주식회사 서전케미칼,경기도 시흥시 정왕동,,,,,,,,,X
13601,컴퓨터수리 컴퓨터구조대,경기도 부천시 여월동,,,,,,,,,X
13812,송이섬유,강원도 철원군 동송읍 이평리,"전문,기술서비스>광고,마케팅",,서울특별시 강남구 청담동 134-20 4층,서울특별시 강남구 학동로101길 26 4층,316903,547121,,http://good-mkt.com,X
14045,오영김밥,경기도 시흥시 정왕동,,,,,,,,,X
14062,그랜드하얏트서울,서울특별시 용산구 한남동,"건강,의료>언어치료",,서울특별시 영등포구 문래동3가 55-5 로데오왁 404호,서울특별시 영등포구 당산로 34 로데오왁 404호,302647,546715,,http://www.rodemschool.co.kr,X
14068,비에이치씨 치킨 묵동먹골점,서울특별시 중랑구 묵동,"생활,편의>편의점",,경기도 안산시 단원구 초지동 733-5,경기도 안산시 단원구 초지동로 33 이마트24 R안산풍림점,295289,523421,,http://www.emart24.co.kr,X
14158,피자나라치킨공주(조대점),광주광역시 동구 지산동,,,,,,,,,X
14328,하섬산업개발,대전광역시 유성구 대정동,"미용>속눈썹증모,연장",,경상남도 양산시 물금읍 가촌리 1298-3,경상남도 양산시 물금읍 야리1길 11 바젤9-NINE 205호,491811,301699,,,X
14345,비에이치시전주만성지구점,전라북도 전주시 덕진구 만성동,,,,,,,,,X
