store_no,store_nm,store_branch_name,hous_id_mango,addr,title,category,telephone,address,roadAddress,mapx,mapy,description,link
eaeTCCCxKCH4,White Bridge Coffee,,1168010100007690000,서울시 강남구 역삼동 769-9,,,,,,,,,
TcBR2KWYny,가야식당,,1168010100006510000,서울시 강남구 역삼동 651,,,,,,,,,
qVkB4RwM1s,장앤크래프트브루어리,,1168010100007250000,서울시 강남구 역삼동 725-45,,,,,,,,,
ybC568jxa1gA,계절의맛,강남점,1168010100008250000,서울시 강남구 역삼동 825-2,,,,,,,,,
yju1BZPFI9zu,셰플리키친,강남점,1168010100006690000,서울시 강남구 역삼동 669-6,,,,,,,,,
ArlXdSAEin,쏘울포차,,1168010100007000000,서울시 강남구 역삼동 700-23,,,,,,,,,
EwKLWOlT7u,동경육개장,,1168010100006470000,서울시 강남구 역삼동 647-7,,,,,,,,,
xOHrdhIGRfui,GARS,,1168010100008340000,서울시 강남구 역삼동 834-103,,,,,,,,,
HgKxBKgUL1CR,다이꼬지,,1168010100008130000,서울시 강남구 역삼동 813-13,,,,,,,,,
Ouc3JiEb_7,오봉참치,,1168010100008170000,서울시 강남구 역삼동 817-18,,,,,,,,,
h-ixrWp2hx0c,TENN Coffee Beer,,1168010100008130000,서울시 강남구 역삼동 813-13,,,,,,,,,
3J64teAg4Hi0,나이쏘이,,1168010100008130000,서울시 강남구 역삼동 813-18,,,,,,,,,
FZ7Sc_pfUx9j,대낚식당,,1168010100007510000,서울시 강남구 역삼동 751-17,,,,,,,,,
GNd81a-sdcDa,돈갓,역삼점,1168010100007420000,서울시 강남구 역삼동 742-22,,,,,,,,,
iHVt5XBeMs,피자아이,,1168010100006700000,서울시 강남구 역삼동 670-3,,,,,,,,,
nJZsT8ekC23w,더데일리니즈,,1168010100007560000,서울시 강남구 역삼동 756-18,,,,,,,,,
EG7CwZ3olh,오랜치,,1168010100008000000,서울시 강남구 역삼동 800-31,,,,,,,,,
JHDy9W6lrzAd,렉커커피,,1168010100006820000,서울시 강남구 역삼동 682-6,,,,,,,,,
OT1UVsgRwtKl,광양본가,,1168010100008230000,서울시 강남구 역삼동 823-1,,,,,,,,,
QynAxvDuSt,궁치킨,,1168010100006560000,서울시 강남구 역삼동 656-19,,,,,,,,,
Ri3BJIy83-68,Gars Coffee,,1168010100008340000,서울시 강남구 역삼동 834-103,,,,,,,,,
qe1qsZWp644K,디스팅트,,1168010100007380000,서울시 강남구 역삼동 738-4,,,,,,,,,
9aUTGk139Pad,몽바커피,,1168010100006460000,서울시 강남구 역삼동 646-12,,,,,,,,,
PspYXw-CIuyX,만족오향족발,강남역점,1168010100008310000,서울시 강남구 역삼동 831-5,,,,,,,,,
UEwxXi1-g_,종로할머니손칼국수,,1168010100007060000,서울시 강남구 역삼동 706-25,,,,,,,,,
Y5mzCzVFOER1,띠엘로,,1168010100008190000,서울시 강남구 역삼동 819-1,,,,,,,,,
ZgttRs1lYR,제이 & 와이 푸드 정선생,,1168010100008310000,서울시 강남구 역삼동 831,,,,,,,,,
z7ODxLxfdQ8u,하루키친,,1168010100008250000,서울시 강남구 역삼동 825-25,,,,,,,,,
2GRpTFRhIJ,킹콩생고기전문점,,1168010100007190000,서울시 강남구 역삼동 719-24,,,,,,,,,
6wWFU4QpmqhZ,셰프팔레트,,1168010100006020000,서울시 강남구 역삼동 602-11,,,,,,,,,
OKqvbh9d7XyO,와플대학,강남역 지하상가 캠퍼스,1168010100008580000,서울시 강남구 역삼동 858,,,,,,,,,
R-4U4HysA4,묵호집,,1168010100006800000,서울시 강남구 역삼동 680-1,,,,,,,,,
u1Leu6VtAx,커피앳웍스,역삼점,1168010100008310000,서울시 강남구 역삼동 831-23,,,,,,,,,
FCCZfx9Khp15,그랑뉴브,,1168010100007080000,서울시 강남구 역삼동 708-35,,,,,,,,,
QR9k-GyEQ5,오디,,1168010100007420000,서울시 강남구 역삼동 742-29,,,,,,,,,
YsS8ufctcaSI,네모오징어,강남파이낸스점,1168010100007390000,서울시 강남구 역삼동 739-2,,,,,,,,,
kaprbeqhpFZs,산방돼지,,1168010100006480000,서울시 강남구 역삼동 648-9,,,,,,,,,
0QaSyqLAwm,만리향중국요리,,1168010100007340000,서울시 강남구 역삼동 734-11,,,,,,,,,
DlwH0Aj7fR,청학루,,1168010100006680000,서울시 강남구 역삼동 668,,,,,,,,,
FXcpAnPuct,턴,,1168010100008310000,서울시 강남구 역삼동 831-34,,,,,,,,,
Z2WCzlATpFj9,참치꼬치한판,,1168010100008300000,서울시 강남구 역삼동 830-42,,,,,,,,,
ajl2RmwsPi,한국관,,1168010100006040000,서울시 강남구 역삼동 604-11,,,,,,,,,
reqQmqS6zxoM,르메르디앙파크바,,1168010100006020000,서울시 강남구 역삼동 602,,,,,,,,,
sXt1NPzUO8oG,광화문연가,,1168010100006970000,서울시 강남구 역삼동 697-12,,,,,,,,,
K3jKhSS_JuU6,거자필반,,1168010100006770000,서울시 강남구 역삼동 677-1,,,,,,,,,
OyyvCGiAik6r,예담정육식당,,1168010100006410000,서울시 강남구 역삼동 641-14,,,,,,,,,
_rA6EBjgep,철인코리아,강남점,1168010100008310000,서울시 강남구 역삼동 831-11,,,,,,,,,
nwbXsXMe-PTd,피자몰 (휴업중),강남역점,1168010100008150000,서울시 강남구 역삼동 815,,,,,,,,,
v1k6T7g8-J,서앤컴퍼니,,1168010100006770000,서울시 강남구 역삼동 677-5,,,,,,,,,
37NMG9CkWD6s,조선횟집,,1168010100006480000,서울시 강남구 역삼동 648-9,,,,,,,,,
HcJ4_28tTOS4,허우,,1168010100006020000,서울시 강남구 역삼동 602,,,,,,,,,
x2kdZyZbzl,다담씨에스,,1168010100006010000,서울시 강남구 역삼동 601-19,,,,,,,,,
zIObVloTGANz,오디오시 요거트,,1168010100007520000,서울시 강남구 역삼동 752-41,,,,,,,,,
21v2xL4xb7at,1897계돼지상회,,1168010100007360000,서울시 강남구 역삼동 736-1,,,,,,,,,
9jSjMeiZSNPn,비사이드카페,,1168010100007890000,서울시 강남구 역삼동 789-20,,,,,,,,,
9xDTvAgii7B5,오래도록예쁘다,,1168010100006870000,서울시 강남구 역삼동 687-1,,,,,,,,,
BlckAp83qpPl,마녀샐러드,,1168010100006370000,서울시 강남구 역삼동 637-36,,,,,,,,,
a2wxa7xpFNeG,수타우동 겐,,1168010100007210000,서울시 강남구 역삼동 721-37,,,,,,,,,
iVcIpmop4u,AY라운지,,1168010100008190000,서울시 강남구 역삼동 819-9,,,,,,,,,
357pH1Dz8O,의정부부대찌개,,1168010100007070000,서울시 강남구 역삼동 707-24,,,,,,,,,
ZjxkVn1rxHPG,Esum,,1168010100008130000,서울시 강남구 역삼동 813-3,,,,,,,,,
wEqjY5ZwPMh6,더커먼스,,1168010100006180000,서울시 강남구 역삼동 618-3,,,,,,,,,
Cc9xnwYOkpgS,거대식당,,1168010100006440000,서울시 강남구 역삼동 644-17,,,,,,,,,
RcwZeKbu8V_L,커피코트,선릉 한신인터밸리점,1168010100007070000,서울시 강남구 역삼동 707-35,,,,,,,,,
XAOtxwesW9,사까미야,,1168010100006550000,서울시 강남구 역삼동 655-23,,,,,,,,,
i7tJnN9kmA_P,카페 난만,,1168010100006620000,서울시 강남구 역삼동 662-12,,,,,,,,,
iGtd9th2Bfed,용호낙지,역삼파이낸스점,1168010100007390000,서울시 강남구 역삼동 739-8,,,,,,,,,
r_UQjZU50hq2,레티튜드37,,1168010100006020000,서울시 강남구 역삼동 602-9,,,,,,,,,
tpBieVVygwhB,블랑제리코팡,,1168010100007850000,서울시 강남구 역삼동 785-16,,,,,,,,,
6XmYdpUjHpRC,에슬로우 커피,역삼1호점,1168010100007350000,서울시 강남구 역삼동 735-21,,,,,,,,,
UWlUZ0Fzi2qM,어반퍼즈,역삼점,1168010100006700000,서울시 강남구 역삼동 670-9,,,,,,,,,
Xg2cYbv0a3_c,춘리마라탕,,1168010100008100000,서울시 강남구 역삼동 810-8,,,,,,,,,
eSFNFwmNQxIz,음식기행,,1168010100007760000,서울시 강남구 역삼동 776-25,,,,,,,,,
kJpaJHhNpcPe,곰소뜸,강남역 센트럴애비뉴점,1168010100008250000,서울시 강남구 역삼동 825-19,,,,,,,,,
ooGToRN7Lr,젠,,1168010100007500000,서울시 강남구 역삼동 750,,,,,,,,,
U12IF1cw4u,빽다방,강남역지하도점,1168010100008580000,서울시 강남구 역삼동 858,,,,,,,,,
dTVSXNtOL6uQ,웍투고,,1168010100007380000,서울시 강남구 역삼동 738-17,,,,,,,,,
