store_no,store_nm,addr,category,telephone,address,roadAddress,mapx,mapy,description,link
599700,방도리노라조,경기도 광주시 도척면 방도리,음식점>양식,,전라북도 완주군 삼례읍 후정리 139-1,전라북도 완주군 삼례읍 비비정길 73-21 레스토랑,316031,366938,,http://instagram.com/bb.train
599714,비비정청춘열차,전라북도 완주군 삼례읍 후정리,,,,,,,,
600007,의료법인지연의료재단한길요양병원,경기도 양평군 양서면 복포리,,,,,,,,
600149,유한회사 밴츠비,서울특별시 강남구 청담동,,,,,,,,
600187,배터지게 먹소,경상북도 경산시 정평동,,,,,,,,
600235,스놉스터디(충주점),충청북도 충주시 금릉동,,,,,,,,
600258,뷰티콜센터주식회사,경기도 부천시 심곡동,,,,,,,,
600314,포카드,대구광역시 달성군 현풍읍 중리,,,,,,,,
600447,프리한친구,충청남도 아산시 용화동,일식>일식당,,서울특별시 광진구 화양동 5-95,서울특별시 광진구 동일로22길 117-16 2층,318092,549203,,
600570,고쿠텐 (건대입구역점),서울특별시 광진구 화양동,"서비스,산업>기업",,울산광역시 중구 학성동 468-1,울산광역시 중구 옥교3길 100,520924,328989,,
600608,100ART,울산광역시 중구 학성동,,,,,,,,
600647,비티정밀,전라북도 완주군 봉동읍 둔산리,,,,,,,,
600662,주식회사 과일창고 탐스,경기도 화성시 능동,,,,,,,,
600708,일이사(124),충청남도 천안시 동남구 목천읍 덕전리,,,,,,,,
600778,사계절밥상,서울특별시 동대문구 청량리동,,,,,,,,
600834,비응수산회센타&평양냉면,전라북도 익산시 어양동,,,,,,,,
601044,지에스25춘천파크자이점(상품권),강원도 춘천시 삼천동,교습학원>입시학원,,경기도 용인시 수지구 성복동 97-14,경기도 용인시 수지구 성복2로 92 라미엔느 2층 202호,318294,524136,,
601073,홍샘수학프리미엄학원,경기도 용인시 수지구 성복동,"서비스,산업>기업",,인천광역시 부평구 청천동 68,인천광역시 부평구 세월천로 211 와이지-원,284427,547146,,http://www.yg1.co.kr/
601297,주식회사 YG-1,인천광역시 부평구 청천동,,,,,,,,
601587,가마치통닭 명지포스코점,부산광역시 강서구,,,,,,,,
601653,육백만불의사나이,충청북도 제천시 청전동,,,,,,,,
601721,서진돈까스,제주특별자치도 서귀포시 성산읍 성산리,"자동차정비,수리>썬팅,광택",,인천광역시 남동구 구월3동 1353,인천광역시 남동구 문화서로46번길 2,284856,539373,,http://blog.naver.com/carisback
601749,친절한카케어,인천광역시 남동구 구월동,"생활,편의>편의점",,충청북도 청주시 청원구 오창읍 각리 649-2,충청북도 청주시 청원구 오창읍 오창중앙로 123-6 1층 2호 (각리 649-2),348064,456626,,http://gs25.gsretail.com/
601787,지에스(GS)25 오창중앙로점,충청북도 청주시 청원구 오창읍 각리,,,,,,,,
601958,주식회사 에스제이서비스,서울특별시 중랑구 중화동,"쇼핑,유통>슈퍼,마트",,전라남도 목포시 용해동 152-17,전라남도 목포시 삼학로 328,254647,245797,,
602026,목포식자재마트,전라남도 목포시 용해동,"카페,디저트>카페",,경기도 파주시 탄현면 대동리 283-13,경기도 파주시 탄현면 새오리로339번길 16,284914,579751,,
602048,메주꽃카페,경기도 파주시 탄현면 대동리,"한식>칼국수,만두",,부산광역시 북구 화명동 2271-6 2층,부산광역시 북구 화명신도시로 127 2층,492182,293399,,http://hyunpungkalguksu.com/
602108,현풍닭칼국수 화명점,부산광역시 북구 화명동,한식>생선회,,서울특별시 중구 신당동 381-11,서울특별시 중구 동호로12길 11,312786,550873,,
602201,이도횟집,서울특별시 중구 신당동,"카페,디저트>차",,경기도 수원시 권선구 금곡동 1085-4,경기도 수원시 권선구 금곡로 116,306464,519642,,
602293,팔공티 수원금곡점,경기도 수원시 권선구 금곡동,일식>돈가스,,서울특별시 중구 을지로1가 50-1,서울특별시 중구 을지로 12 시청광장 지하 쇼핑센터 526호,309941,551976,,
602309,시청광장돈까스,서울특별시 중구 을지로1가,음식점>한식,,부산광역시 연제구 연산동 644-1,부산광역시 연제구 고분로32번길 42,499077,287735,,
602443,연일,부산광역시 연제구 연산동,"쇼핑,유통>식료품",,강원도 태백시 황지동 97-3,,488087,506826,,
602521,고원김치,강원도 태백시 황지동,,,,,,,,
602522,(주)아이엠에스,부산광역시 수영구 광안동,,,,,,,,
602572,유한회사 풍산주유소,경기도 하남시 풍산동,"음식점>치킨,닭강정",,광주광역시 동구 장동 68-5,광주광역시 동구 장동로 9,302086,283881,,http://www.60chicken.co.kr
602590,60계치킨 광주동명계림점,광주광역시 동구 장동,양식>피자,,울산광역시 울주군 삼남면 교동리 1579-13,울산광역시 울주군 삼남면 교동로 125,501363,329647,,http://handmadepizza.co.kr
602597,반올림피자샵 언양점,울산광역시 울주군 삼남면 교동리,"광고,마케팅>광고대행",,광주광역시 남구 월산동 932-1,광주광역시 남구 대남대로410번길 6,299044,283763,,http://www.gread.co.kr
602766,그레잇광고,광주광역시 남구 월산동,,,,,,,,
